,0,1,2,3,4
e7472891,0.0,0.0,1.0,0.0,0.0
e7080065,0.0,0.0,1.0,0.0,1.0
e6775279,0.0,0.0,0.0,1.0,0.0
e7477601,1.0,0.0,0.0,0.0,0.0
e7546359,0.0,0.0,1.0,1.0,1.0
e6784949,0.0,1.0,0.0,0.0,0.0
e7632215,1.0,0.0,0.0,0.0,0.0
e7606471,1.0,1.0,0.0,1.0,0.0
e7488325,1.0,0.0,0.0,0.0,0.0
e7608313,0.0,1.0,1.0,1.0,0.0
e7615787,0.0,1.0,0.0,0.0,0.0
e7616111,0.0,1.0,0.0,0.0,0.0
e7597279,1.0,1.0,1.0,0.0,1.0
e7562901,0.0,0.0,1.0,0.0,1.0
e7477623,1.0,0.0,1.0,0.0,1.0
e7616957,0.0,1.0,0.0,0.0,0.0
e7625921,1.0,1.0,1.0,1.0,1.0
e6812153,0.0,0.0,1.0,0.0,0.0
e101032,0.0,0.0,0.0,1.0,1.0
e6589539,1.0,1.0,1.0,0.0,0.0
e7471929,0.0,0.0,0.0,1.0,0.0
e7530357,1.0,0.0,1.0,1.0,0.0
e6986035,0.0,0.0,1.0,0.0,1.0
e7214323,1.0,0.0,0.0,0.0,1.0
e7472471,0.0,0.0,1.0,0.0,1.0
e34332,0.0,0.0,1.0,0.0,0.0
e7135023,1.0,0.0,0.0,0.0,1.0
e7380589,0.0,1.0,0.0,0.0,1.0
e7580429,0.0,1.0,1.0,0.0,1.0
e7629055,1.0,1.0,1.0,1.0,1.0
e7528599,1.0,1.0,1.0,1.0,1.0
e7497107,0.0,0.0,0.0,1.0,0.0
e7214405,0.0,1.0,0.0,1.0,0.0
e7437389,1.0,1.0,1.0,1.0,1.0
e6804569,1.0,0.0,0.0,0.0,0.0
e7486447,1.0,0.0,0.0,0.0,0.0
e7501533,1.0,1.0,0.0,0.0,0.0
e7302881,1.0,1.0,1.0,0.0,0.0
e72900,1.0,0.0,0.0,0.0,1.0
e94982,1.0,0.0,0.0,0.0,0.0
e7627265,1.0,0.0,1.0,1.0,0.0
e6470437,0.0,0.0,0.0,1.0,0.0
e7543347,0.0,0.0,1.0,0.0,1.0
e7598729,1.0,1.0,1.0,1.0,1.0
e7459075,0.0,1.0,1.0,1.0,1.0
e7523737,1.0,0.0,0.0,0.0,0.0
e7628825,1.0,1.0,0.0,1.0,1.0
e7615757,0.0,1.0,0.0,0.0,0.0
e7616621,1.0,1.0,1.0,1.0,1.0
e7602695,1.0,1.0,0.0,1.0,1.0
e7433293,1.0,1.0,0.0,1.0,0.0
e6732849,0.0,0.0,0.0,1.0,0.0
e7607495,0.0,1.0,1.0,1.0,1.0
e7501123,0.0,0.0,0.0,0.0,1.0
e6851195,0.0,0.0,0.0,0.0,1.0
e6817697,1.0,0.0,0.0,0.0,0.0
e7498439,0.0,0.0,0.0,0.0,1.0
e7318613,1.0,0.0,0.0,0.0,1.0
e6834093,0.0,0.0,1.0,0.0,0.0
e7484589,0.0,0.0,1.0,0.0,1.0
e7207541,0.0,0.0,1.0,1.0,1.0
e6824349,0.0,0.0,0.0,0.0,1.0
e7486905,1.0,0.0,0.0,1.0,0.0
e6838709,1.0,0.0,0.0,0.0,0.0
e7404695,1.0,0.0,1.0,0.0,1.0
e66708,1.0,0.0,1.0,0.0,0.0
e7158237,0.0,0.0,1.0,0.0,0.0
e7611009,0.0,0.0,1.0,0.0,1.0
e7570775,1.0,0.0,0.0,0.0,1.0
e7163595,1.0,0.0,0.0,1.0,0.0
e6808443,1.0,0.0,0.0,0.0,0.0
e6344857,1.0,0.0,0.0,0.0,1.0
e6232166,0.0,0.0,1.0,0.0,0.0
e6514347,1.0,0.0,0.0,0.0,1.0
e7178401,1.0,0.0,1.0,0.0,1.0
e7624785,0.0,1.0,0.0,1.0,1.0
e7568633,1.0,1.0,0.0,1.0,1.0
e6783111,1.0,0.0,0.0,0.0,0.0
e7311331,0.0,1.0,1.0,0.0,1.0
e123966,0.0,1.0,0.0,0.0,0.0
e7297339,1.0,0.0,1.0,1.0,0.0
e7629925,1.0,1.0,1.0,1.0,1.0
e7504719,1.0,1.0,0.0,0.0,0.0
e7632667,1.0,1.0,1.0,1.0,1.0
e6825729,0.0,1.0,0.0,0.0,0.0
e6835139,0.0,0.0,0.0,1.0,0.0
e8098,1.0,0.0,0.0,1.0,0.0
e6821893,1.0,0.0,1.0,0.0,0.0
e7336371,1.0,1.0,0.0,0.0,0.0
e122668,1.0,0.0,0.0,0.0,0.0
e7549099,1.0,1.0,0.0,1.0,0.0
e7487429,1.0,0.0,0.0,1.0,0.0
e7249475,1.0,0.0,1.0,0.0,1.0
e7359207,0.0,1.0,0.0,0.0,0.0
e7610735,0.0,1.0,0.0,0.0,0.0
e7513463,0.0,0.0,0.0,1.0,1.0
e6416921,0.0,1.0,0.0,0.0,0.0
e7095885,0.0,1.0,1.0,0.0,1.0
e7291639,1.0,0.0,0.0,1.0,0.0
e7438073,1.0,1.0,1.0,1.0,1.0
e7625199,1.0,1.0,0.0,1.0,1.0
e6826119,1.0,0.0,0.0,0.0,0.0
e7611569,1.0,0.0,0.0,0.0,0.0
e25080,1.0,0.0,0.0,0.0,0.0
e25082,1.0,0.0,0.0,0.0,0.0
e7621701,1.0,1.0,1.0,1.0,1.0
e7491963,0.0,1.0,1.0,1.0,0.0
e7621105,1.0,0.0,0.0,0.0,1.0
e7446185,1.0,1.0,0.0,1.0,0.0
e7498591,1.0,0.0,0.0,0.0,0.0
e7570761,0.0,1.0,0.0,1.0,0.0
e7626509,1.0,1.0,1.0,1.0,1.0
e23780,0.0,0.0,1.0,1.0,1.0
e7315919,1.0,1.0,1.0,1.0,0.0
e7627653,1.0,1.0,1.0,1.0,1.0
e7635567,1.0,1.0,1.0,1.0,1.0
e7481179,0.0,1.0,0.0,0.0,0.0
e7505069,0.0,0.0,0.0,1.0,0.0
e7120987,0.0,0.0,1.0,0.0,1.0
e6979011,1.0,0.0,0.0,0.0,1.0
e6193656,0.0,0.0,0.0,0.0,1.0
e6188836,0.0,0.0,0.0,0.0,0.0
e1792,0.0,0.0,1.0,0.0,1.0
e7627669,1.0,1.0,1.0,1.0,1.0
e7472799,1.0,0.0,0.0,0.0,0.0
e6539817,1.0,0.0,0.0,0.0,0.0
e6976353,0.0,1.0,0.0,0.0,0.0
e93440,1.0,1.0,0.0,0.0,0.0
e7343403,0.0,1.0,0.0,1.0,0.0
e6945311,0.0,1.0,0.0,0.0,0.0
e7568301,0.0,0.0,1.0,1.0,1.0
e118914,1.0,0.0,1.0,0.0,0.0
e118918,0.0,0.0,1.0,0.0,0.0
e7610725,1.0,0.0,0.0,0.0,0.0
e7310611,1.0,0.0,0.0,1.0,0.0
e7459393,1.0,1.0,0.0,1.0,0.0
e7592699,1.0,0.0,1.0,0.0,1.0
e7578069,0.0,0.0,1.0,0.0,0.0
e6819259,0.0,0.0,1.0,0.0,0.0
e6729877,0.0,0.0,0.0,0.0,1.0
e6787735,1.0,0.0,0.0,0.0,0.0
e6692047,1.0,0.0,0.0,0.0,0.0
e6536045,0.0,0.0,0.0,1.0,0.0
e7156063,1.0,0.0,0.0,1.0,0.0
e7591805,1.0,0.0,1.0,0.0,0.0
e6701867,1.0,0.0,1.0,0.0,1.0
e49222,0.0,0.0,1.0,0.0,0.0
e49226,0.0,0.0,1.0,0.0,0.0
e7488877,0.0,0.0,1.0,0.0,0.0
e7615429,0.0,1.0,1.0,0.0,1.0
e6775603,0.0,0.0,0.0,1.0,0.0
e124450,0.0,0.0,0.0,1.0,0.0
e7290033,0.0,1.0,0.0,1.0,0.0
e6836539,0.0,1.0,0.0,0.0,0.0
e7562809,1.0,0.0,1.0,0.0,1.0
e118254,1.0,0.0,0.0,0.0,1.0
e6576063,1.0,0.0,0.0,0.0,1.0
e6745971,1.0,0.0,1.0,0.0,1.0
e6775353,0.0,1.0,0.0,1.0,0.0
e7442483,0.0,1.0,0.0,1.0,0.0
e7416633,1.0,0.0,0.0,1.0,1.0
e7344669,1.0,1.0,0.0,1.0,0.0
e7477737,0.0,0.0,0.0,1.0,0.0
e7061957,0.0,0.0,0.0,1.0,0.0
e7241037,1.0,0.0,1.0,0.0,0.0
e7462089,0.0,1.0,1.0,1.0,1.0
e6115490,0.0,1.0,0.0,0.0,0.0
e6376725,1.0,0.0,0.0,0.0,0.0
e6802173,1.0,1.0,0.0,0.0,0.0
e6747953,0.0,0.0,0.0,0.0,1.0
e7631243,1.0,1.0,1.0,1.0,1.0
e7534149,1.0,1.0,1.0,1.0,1.0
e7630263,1.0,1.0,0.0,1.0,1.0
e7496297,0.0,1.0,0.0,1.0,0.0
e7520929,1.0,0.0,1.0,0.0,1.0
e69286,1.0,0.0,0.0,0.0,1.0
e6639915,1.0,0.0,0.0,0.0,0.0
e7594003,1.0,1.0,1.0,1.0,1.0
e7424401,1.0,1.0,0.0,1.0,1.0
e7617975,1.0,1.0,1.0,1.0,1.0
e7513507,0.0,0.0,1.0,1.0,1.0
e6828231,0.0,1.0,0.0,0.0,0.0
e6800683,1.0,0.0,0.0,0.0,0.0
e7315777,0.0,0.0,1.0,0.0,0.0
e6834013,0.0,1.0,0.0,0.0,0.0
e26582,1.0,0.0,0.0,0.0,0.0
e6116858,0.0,0.0,0.0,0.0,1.0
e6710351,0.0,0.0,0.0,0.0,1.0
e6871571,0.0,0.0,0.0,0.0,1.0
e6788881,1.0,0.0,0.0,0.0,0.0
e7183191,0.0,1.0,0.0,0.0,1.0
e121052,1.0,0.0,1.0,0.0,0.0
e7250989,1.0,0.0,1.0,0.0,0.0
e6261913,1.0,0.0,0.0,0.0,0.0
e7308905,1.0,0.0,0.0,0.0,1.0
e65612,1.0,0.0,0.0,0.0,0.0
e6251249,1.0,0.0,0.0,0.0,0.0
e124776,1.0,0.0,0.0,0.0,0.0
e124778,1.0,0.0,0.0,0.0,0.0
e6807463,0.0,1.0,1.0,0.0,0.0
e7458341,0.0,1.0,0.0,0.0,0.0
e7485991,0.0,1.0,1.0,1.0,0.0
e110300,0.0,1.0,1.0,0.0,0.0
e6852363,0.0,0.0,0.0,1.0,0.0
