,0,1,2
e5286370,0.0,0.0,1.0
e18054,0.0,0.0,1.0
e5206610,0.0,1.0,1.0
e5593488,0.0,1.0,0.0
e5078462,0.0,0.0,1.0
e5537508,0.0,0.0,1.0
e5201018,0.0,0.0,1.0
e5506938,1.0,1.0,1.0
e5537502,0.0,0.0,1.0
e5608096,1.0,0.0,0.0
e20152,0.0,0.0,1.0
e41556,0.0,0.0,0.0
e5593740,0.0,1.0,0.0
e5216454,0.0,1.0,0.0
e5519696,1.0,0.0,0.0
e5504566,1.0,1.0,1.0
e5480606,1.0,1.0,0.0
e5592196,1.0,0.0,1.0
e5188024,1.0,0.0,0.0
e5546282,0.0,0.0,1.0
e4680217,1.0,0.0,0.0
e5263674,1.0,1.0,0.0
e76332,1.0,0.0,1.0
e4700588,1.0,0.0,0.0
e5102538,0.0,0.0,1.0
e5171568,1.0,0.0,0.0
e5491056,1.0,1.0,1.0
e19556,1.0,0.0,0.0
e4942238,1.0,0.0,0.0
e5371580,1.0,0.0,1.0
e5535956,0.0,1.0,0.0
e5547034,1.0,0.0,1.0
e5291670,1.0,0.0,0.0
e5608022,1.0,1.0,1.0
e5589992,1.0,0.0,1.0
e5595136,0.0,1.0,0.0
e5586124,1.0,1.0,1.0
e5252064,0.0,1.0,0.0
e5317458,1.0,0.0,0.0
e5591826,1.0,1.0,0.0
e5456662,1.0,0.0,1.0
e5601866,1.0,1.0,1.0
e5347056,0.0,0.0,1.0
e5323332,0.0,1.0,0.0
e5571058,1.0,0.0,1.0
e5607704,0.0,1.0,1.0
e5283448,1.0,0.0,0.0
e5582334,1.0,1.0,0.0
e5594352,0.0,0.0,1.0
e5537474,1.0,1.0,0.0
e5537472,1.0,1.0,1.0
e5604922,1.0,1.0,0.0
e5605070,1.0,1.0,1.0
e5225222,1.0,0.0,0.0
e5409674,0.0,1.0,0.0
e6308,1.0,1.0,0.0
e4691195,0.0,1.0,1.0
e5169354,1.0,0.0,0.0
e5538094,0.0,1.0,0.0
e5603842,0.0,1.0,1.0
e4809440,0.0,1.0,0.0
e85276,0.0,0.0,0.0
e5236978,0.0,0.0,1.0
e5055952,1.0,0.0,0.0
e5546466,0.0,1.0,0.0
e5030922,0.0,0.0,0.0
e5607228,1.0,1.0,0.0
e5607644,1.0,1.0,1.0
e5607840,1.0,1.0,1.0
e89902,0.0,0.0,1.0
e5589210,0.0,1.0,0.0
e5222220,0.0,1.0,0.0
e5592730,0.0,0.0,1.0
e5388904,0.0,1.0,1.0
e5203358,0.0,1.0,0.0
e5488204,1.0,0.0,1.0
e4877314,1.0,1.0,1.0
e5510612,1.0,0.0,1.0
e5548732,1.0,0.0,1.0
e5545500,0.0,0.0,1.0
e5586962,1.0,1.0,0.0
e146072,0.0,0.0,0.0
e5221270,1.0,0.0,0.0
e5604772,1.0,1.0,1.0
e5539174,1.0,0.0,0.0
e5607606,1.0,1.0,1.0
e5603888,1.0,1.0,1.0
e4623861,0.0,0.0,1.0
e4943552,0.0,0.0,1.0
e5541156,0.0,0.0,1.0
e5585960,1.0,1.0,0.0
e5453640,1.0,0.0,0.0
e4688817,0.0,0.0,0.0
e4823610,0.0,1.0,0.0
e5144498,1.0,0.0,0.0
e5433748,0.0,1.0,1.0
e105326,0.0,0.0,0.0
e5607504,0.0,1.0,1.0
e188216,0.0,0.0,0.0
e5549738,1.0,1.0,0.0
e5461104,1.0,1.0,1.0
e4979944,0.0,0.0,1.0
e5539658,1.0,0.0,0.0
e5590394,1.0,0.0,1.0
e5591576,1.0,1.0,1.0
e5505378,1.0,0.0,1.0
e5547166,1.0,0.0,0.0
e5570286,1.0,0.0,1.0
e4737194,1.0,0.0,0.0
e5520304,0.0,0.0,1.0
e5607400,1.0,1.0,1.0
e5427772,1.0,0.0,1.0
e5585230,0.0,1.0,0.0
e5600892,1.0,1.0,0.0
e4984150,0.0,1.0,0.0
e5117116,1.0,0.0,0.0
e140092,1.0,1.0,0.0
e5188376,1.0,0.0,0.0
e98704,1.0,0.0,0.0
e5556602,1.0,0.0,1.0
e5593440,1.0,1.0,1.0
e5582838,1.0,1.0,0.0
e5604594,1.0,1.0,1.0
e5210786,0.0,1.0,0.0
e5190524,1.0,0.0,0.0
e5594264,0.0,1.0,0.0
e5228794,0.0,0.0,1.0
e5600512,0.0,1.0,1.0
e5226710,0.0,0.0,1.0
e5560638,0.0,0.0,1.0
e5457644,0.0,0.0,1.0
e5210980,0.0,1.0,0.0
e5520564,1.0,0.0,1.0
e5224606,0.0,1.0,0.0
e5532024,1.0,0.0,1.0
e5592290,1.0,0.0,0.0
e5229486,1.0,0.0,0.0
e4731444,1.0,0.0,0.0
e4892748,1.0,0.0,0.0
e160344,0.0,0.0,0.0
e5604556,1.0,1.0,1.0
e5411842,1.0,0.0,1.0
e5572022,1.0,0.0,1.0
e5293212,0.0,1.0,0.0
e5573884,1.0,0.0,1.0
e5537074,1.0,1.0,1.0
e5606278,0.0,1.0,0.0
e5607898,1.0,0.0,1.0
e5595398,1.0,0.0,1.0
e5579928,1.0,1.0,1.0
e5546740,0.0,1.0,0.0
e5537194,0.0,1.0,0.0
e5548970,0.0,1.0,0.0
e5134562,1.0,0.0,1.0
e5606564,1.0,0.0,0.0
e5586302,1.0,1.0,1.0
e5537080,0.0,1.0,0.0
e5546728,1.0,1.0,1.0
e5536922,1.0,1.0,0.0
e5244910,0.0,1.0,0.0
e5546302,1.0,0.0,1.0
e5588854,1.0,1.0,1.0
e5547332,0.0,0.0,1.0
e5605600,1.0,1.0,1.0
e5578618,1.0,1.0,0.0
e5546374,0.0,1.0,0.0
e5185348,0.0,0.0,1.0
e4876212,1.0,0.0,0.0
e5600888,1.0,1.0,0.0
e5533074,0.0,1.0,1.0
e5536540,0.0,0.0,1.0
e5547450,0.0,1.0,0.0
e5599256,1.0,1.0,1.0
e5587186,1.0,1.0,0.0
e5203362,1.0,1.0,0.0
e5227962,1.0,0.0,0.0
e182492,0.0,0.0,1.0
