,0,1,2,3
e6550388,0.0,0.0,0.0,1.0
e7131364,1.0,1.0,1.0,0.0
e6956580,1.0,0.0,0.0,1.0
e6544796,1.0,0.0,0.0,0.0
e7008160,0.0,0.0,0.0,1.0
e90598,0.0,0.0,0.0,1.0
e7010788,1.0,1.0,0.0,0.0
e7136748,1.0,1.0,1.0,1.0
e5938846,1.0,0.0,0.0,0.0
e7045498,0.0,1.0,0.0,1.0
e27950,0.0,0.0,1.0,0.0
e7092970,1.0,1.0,1.0,1.0
e44166,1.0,0.0,0.0,0.0
e7136764,1.0,1.0,1.0,1.0
e6987576,1.0,0.0,0.0,0.0
e7126432,1.0,1.0,1.0,1.0
e6989746,1.0,0.0,0.0,0.0
e7019554,0.0,1.0,1.0,1.0
e6538792,0.0,0.0,0.0,1.0
e6986260,1.0,1.0,1.0,1.0
e6503182,1.0,0.0,0.0,1.0
e7075772,0.0,1.0,1.0,0.0
e6994458,0.0,1.0,1.0,0.0
e6359972,0.0,1.0,0.0,0.0
e6443848,0.0,0.0,1.0,0.0
e28660,0.0,0.0,1.0,0.0
e6693386,0.0,1.0,1.0,1.0
e7129930,1.0,1.0,1.0,1.0
e6476484,1.0,0.0,0.0,0.0
e7123294,0.0,1.0,1.0,1.0
e6606430,0.0,1.0,1.0,1.0
e6355122,0.0,0.0,1.0,0.0
e6480504,1.0,0.0,0.0,0.0
e6859124,1.0,0.0,1.0,0.0
e7131986,1.0,1.0,1.0,1.0
e6478400,0.0,0.0,0.0,1.0
e6926376,1.0,0.0,0.0,1.0
e7082908,1.0,1.0,1.0,1.0
e7045204,0.0,1.0,1.0,1.0
e6543936,1.0,0.0,0.0,0.0
e7095614,1.0,1.0,1.0,1.0
e6807338,0.0,1.0,0.0,1.0
e7064708,0.0,1.0,1.0,1.0
e7046138,1.0,1.0,1.0,1.0
e7002240,1.0,0.0,0.0,0.0
e7105220,1.0,1.0,0.0,0.0
e6870976,0.0,1.0,0.0,0.0
e7002192,0.0,1.0,0.0,0.0
e7127954,1.0,1.0,1.0,1.0
e7098254,1.0,0.0,1.0,1.0
e6815388,0.0,1.0,1.0,0.0
e7055228,1.0,0.0,0.0,1.0
e7128010,1.0,1.0,1.0,1.0
e114118,0.0,1.0,0.0,1.0
e6536806,0.0,0.0,0.0,1.0
e62452,1.0,0.0,0.0,0.0
e7121328,1.0,1.0,1.0,1.0
e6636044,0.0,0.0,1.0,1.0
e6962634,1.0,0.0,0.0,0.0
e6999122,1.0,0.0,0.0,0.0
e7131860,1.0,1.0,1.0,1.0
e6245582,0.0,0.0,0.0,1.0
e7010472,1.0,0.0,1.0,0.0
e6974746,1.0,0.0,1.0,1.0
e6828544,1.0,1.0,0.0,1.0
e7066432,0.0,1.0,0.0,1.0
e6807776,0.0,1.0,1.0,0.0
e7130106,1.0,1.0,1.0,1.0
e6546702,0.0,1.0,1.0,0.0
e6902722,1.0,0.0,0.0,1.0
e86048,0.0,1.0,0.0,1.0
