,0,1,2,3,4
e7498368,1.0,0.0,0.0,0.0,1.0
e7505734,0.0,0.0,0.0,1.0,0.0
e7501658,0.0,1.0,0.0,0.0,0.0
e7505736,0.0,0.0,1.0,0.0,0.0
e98348,0.0,1.0,0.0,0.0,0.0
e6266938,1.0,0.0,0.0,0.0,0.0
e6868310,0.0,1.0,0.0,0.0,0.0
e7273512,1.0,0.0,0.0,0.0,1.0
e7616620,0.0,0.0,0.0,0.0,1.0
e7554576,0.0,0.0,0.0,0.0,1.0
e10856,1.0,0.0,0.0,0.0,0.0
e6902404,0.0,1.0,0.0,0.0,0.0
e7615512,0.0,1.0,1.0,1.0,0.0
e7622246,1.0,0.0,0.0,0.0,1.0
e6498540,1.0,0.0,1.0,1.0,0.0
e6843000,0.0,0.0,1.0,0.0,0.0
e7503330,0.0,0.0,0.0,1.0,0.0
e7564918,0.0,1.0,0.0,0.0,0.0
e9974,0.0,0.0,0.0,0.0,1.0
e9976,0.0,1.0,0.0,0.0,0.0
e7637792,1.0,1.0,0.0,1.0,1.0
e6615906,0.0,0.0,0.0,1.0,0.0
e7383682,0.0,1.0,1.0,0.0,0.0
e7218102,1.0,1.0,0.0,0.0,1.0
e6953402,1.0,1.0,1.0,0.0,1.0
e7222476,0.0,1.0,1.0,0.0,0.0
e7616796,1.0,0.0,0.0,0.0,0.0
e7607092,1.0,0.0,1.0,1.0,1.0
e6332200,0.0,0.0,1.0,0.0,0.0
e92926,0.0,0.0,1.0,1.0,0.0
e7447464,0.0,1.0,1.0,0.0,0.0
e7035182,0.0,1.0,0.0,1.0,0.0
e7496658,0.0,0.0,0.0,1.0,0.0
e7547222,1.0,0.0,0.0,1.0,1.0
e7339950,0.0,1.0,0.0,0.0,0.0
e6404814,0.0,1.0,0.0,0.0,0.0
e7583888,1.0,0.0,1.0,1.0,0.0
e7639994,1.0,1.0,0.0,1.0,1.0
e6726328,0.0,0.0,0.0,1.0,0.0
e7074534,0.0,0.0,0.0,1.0,1.0
e7625606,1.0,1.0,0.0,1.0,1.0
e63914,1.0,0.0,0.0,0.0,0.0
e7343918,0.0,1.0,0.0,0.0,1.0
e7620954,1.0,1.0,0.0,0.0,1.0
e7621086,0.0,1.0,0.0,0.0,0.0
e7622380,1.0,0.0,0.0,0.0,1.0
e6808016,1.0,0.0,0.0,0.0,0.0
e6754708,1.0,0.0,0.0,0.0,0.0
e7119874,0.0,0.0,0.0,0.0,1.0
e6317812,1.0,0.0,0.0,0.0,0.0
e7641030,1.0,1.0,1.0,1.0,1.0
e7181944,0.0,1.0,1.0,0.0,0.0
e7576016,1.0,0.0,0.0,1.0,1.0
e6894530,0.0,1.0,0.0,0.0,0.0
e7493216,0.0,0.0,0.0,1.0,0.0
e7627390,0.0,0.0,0.0,1.0,1.0
e6864466,0.0,0.0,1.0,0.0,0.0
e6868974,1.0,0.0,0.0,0.0,0.0
e6855014,0.0,1.0,0.0,0.0,0.0
e26924,0.0,0.0,0.0,0.0,0.0
e7205380,0.0,1.0,1.0,0.0,0.0
e7607158,1.0,0.0,0.0,1.0,1.0
e7616372,1.0,0.0,0.0,0.0,0.0
e67936,0.0,0.0,1.0,1.0,0.0
