name,strains_print,color
499658+,"s4, s5",Teal
5001044+,"s4, s8",#b0b0b0
5005246+,Nobody,#b0b0b0
50056985776354+,"s4, s8",#b0b0b0
5017002+,"s5, s8",Teal
5023874+,s4,#b0b0b0
5045240+,s8(2),#b0b0b0
5049608+,s4,#b0b0b0
5052960+,Nobody,#b0b0b0
5069298+,Nobody,#b0b0b0
5073392+,s4,#b0b0b0
5077382+,s5,Teal
5077958+,"s4, s5, s8",Teal
5086610+,s4,#b0b0b0
5086970+,s8,#b0b0b0
5125976+,Nobody,#b0b0b0
5134998+,s5(2),Navy
5140318+,"s4, s8",#b0b0b0
5148446+,s4,#b0b0b0
5150730+,s5,Teal
51574165917680+,"s4, s8",#b0b0b0
5157714+,s5,Teal
5162212+,"s4, s8",#b0b0b0
5166864+,"s4, s5",Teal
5166960+,"s5, s8",Teal
5169036+,s8,#b0b0b0
5169240+,Nobody,#b0b0b0
5177904+,s5(2),Navy
5178358+,s4,#b0b0b0
5181612+,"s4, s8",#b0b0b0
5185062+,s4,#b0b0b0
5192094+,s4,#b0b0b0
5194654+,"s4(2), s8(2)",#b0b0b0
519540+,Nobody,#b0b0b0
5195514+,s8,#b0b0b0
5199984+,s4(3),#b0b0b0
5201508+,s5(3),Navy
5205662+,"s4, s8",#b0b0b0
5206754+,s5,Teal
5219828+,"s4, s8",#b0b0b0
5232948+,s8,#b0b0b0
5234152+,s4,#b0b0b0
5240050+,"s4, s5",Teal
5240486+,s5,Teal
5242182+,"s4, s8",#b0b0b0
5245110+,s4,#b0b0b0
5250340+,"s4, s8",#b0b0b0
5253842+,s5,Teal
5255205945596+,"s4, s8",#b0b0b0
5255225464154+,s5,Teal
5257450+,"s5, s8",Teal
5260116+,"s4, s8",#b0b0b0
52611965605796+,s5,Teal
5261328+,"s4, s5, s8",Teal
5275348+,"s4, s8",#b0b0b0
5278284+,s4,#b0b0b0
5282926+,Nobody,#b0b0b0
5287470+,s5,Teal
5291816+,s4,#b0b0b0
5292028+,s8,#b0b0b0
529740+,s4,#b0b0b0
5300952+,"s4, s5, s8",Teal
5308022+,s4,#b0b0b0
5311440+,s8,#b0b0b0
5313044+,Nobody,#b0b0b0
53132765708078+,"s4, s8",#b0b0b0
53135041380086+,s8,#b0b0b0
5317058+,"s4, s8",#b0b0b0
5318512+,s5,Teal
5329026+,s5,Teal
5329142+,Nobody,#b0b0b0
5329508+,s5,Teal
5333322+,"s4, s8",#b0b0b0
5336990+,s4,#b0b0b0
5337268+,"s5, s8",Teal
5339672+,s8,#b0b0b0
5342386+,"s4, s5, s8",Teal
5342836+,Nobody,#b0b0b0
5344914+,s5,Teal
5347314+,s5(14),Navy
5348682+,s8,#b0b0b0
5352294+,"s4, s5, s8",Teal
5358688+,s4,#b0b0b0
5359336+,s5(13),Navy
5359564+,s5,Teal
5364166+,s4(2),#b0b0b0
5365844+,s8,#b0b0b0
5366694+,s8,Yellow
537242+,"s4, s8",#b0b0b0
5376586+,"s4, s8",#b0b0b0
5376954+,s4,#b0b0b0
5376984+,"s4, s5, s8",Teal
5382038+,s5,Teal
5382730+,s8,#b0b0b0
538380+,"s4, s8",#b0b0b0
5387938+,"s4, s8",#b0b0b0
538868+,s4(4),#b0b0b0
5394306+,s8,#b0b0b0
5397528+,"s4, s8",#b0b0b0
5399528+,s8,#b0b0b0
5402198+,s5,Teal
5412550+,Nobody,#b0b0b0
5414072+,s5,Teal
5414738+,s5,Teal
5415754+,s4,#b0b0b0
5419660+,s8,#b0b0b0
5420490+,"s4, s5, s8",Teal
5423392+,s5,Teal
5424652+,s8,#b0b0b0
5425398+,s8,#b0b0b0
5426192+,s4,#b0b0b0
5426668+,Nobody,#b0b0b0
5427406+,s8,#b0b0b0
5428762+,s8,#b0b0b0
5429238+,Nobody,#b0b0b0
5431234+,s5(2),Navy
5433986+,s5,Teal
5435364+,Nobody,#b0b0b0
5441374+,s4,#b0b0b0
5442224+,s8,#b0b0b0
5442654+,s4,#b0b0b0
5446224+,"s4, s5",Teal
5447328+,s4,#b0b0b0
5448288+,Nobody,#b0b0b0
5448638+,s4,#b0b0b0
5450086+,"s4, s5",Teal
5451386+,s4,#b0b0b0
5451854+,s4(7),#b0b0b0
54543461414510+,s5,Teal
5455106+,s4,#b0b0b0
5455870+,Nobody,#b0b0b0
54566585880264+,s5,Teal
5462108+,"s4, s5, s8",Teal
5463484+,s5,Teal
5464114+,s5,Teal
5464120+,s4(2),#b0b0b0
5464770+,"s4(2), s8",#b0b0b0
5464820+,s4,#b0b0b0
5465334+,"s4, s8",#b0b0b0
5466830+,s4,#b0b0b0
5467732+,s5,Teal
5469550+,Nobody,#b0b0b0
5470266+,Nobody,#b0b0b0
5471444+,s5,Teal
5472072+,s5,Teal
5473536+,"s4, s5, s8",Teal
5474232+,s8(2),#b0b0b0
5475530+,s5,Teal
5475800+,s5,Teal
5476408+,"s4, s8",#b0b0b0
5476854+,s8,#b0b0b0
5477604+,s4,#b0b0b0
5477790+,s4,#b0b0b0
5478942+,"s4, s5, s8",Teal
5483482+,Nobody,#b0b0b0
5484968+,s8,#b0b0b0
5486774+,Nobody,#b0b0b0
5487664+,Nobody,#b0b0b0
5488964+,s5,Teal
5489132+,s8,#b0b0b0
5489458+,"s5, s8",Teal
5490204+,s8,#b0b0b0
5492276+,s8,#b0b0b0
5492970+,s8,#b0b0b0
5493152+,s4,#b0b0b0
5493926+,s8,#b0b0b0
5498182+,s4,#b0b0b0
5498308+,"s4, s8",#b0b0b0
5499384+,s5,Teal
5500042+,"s4, s5, s8",Teal
5500240+,Nobody,#b0b0b0
5500668+,s8,#b0b0b0
5501790+,"s4, s8(2)",#b0b0b0
5505832+,"s4, s5, s8",Teal
5506260+,s8,#b0b0b0
5507128+,s4,#b0b0b0
5507166+,s4,#b0b0b0
5510442+,s8,#b0b0b0
5510572+,s8,#b0b0b0
5510872+,s4,#b0b0b0
5511750+,Nobody,#b0b0b0
5512720+,"s4, s5, s8",Teal
5514816+,s4,#b0b0b0
5514984+,"s4, s8",#b0b0b0
5515670+,"s4, s8",#b0b0b0
5516966+,s5(2),Navy
5517078+,s4,#b0b0b0
5517340+,"s4, s8",#b0b0b0
5518716+,"s4, s5",Teal
5519346+,s8,#b0b0b0
5519704+,"s4(4), s8",#b0b0b0
5522220+,s5(2),Navy
5522548+,s4,#b0b0b0
5526868+,s8,#b0b0b0
5526926+,s8,#b0b0b0
5526934+,"s4, s5, s8",Teal
5527254+,Nobody,#b0b0b0
5529110+,s8,#b0b0b0
5529442+,s5,Teal
5532938+,"s5, s8",Teal
55336485887778+,s5,Teal
5534892+,Nobody,#b0b0b0
5535470+,s8,#b0b0b0
5535684+,s4,#b0b0b0
5536164+,s4,#b0b0b0
5536274+,s5,Teal
5536448+,s8,#b0b0b0
5537956+,s4,#b0b0b0
5539284+,"s4, s8",#b0b0b0
5539484+,s4,#b0b0b0
5539524+,"s4, s5, s8",Teal
5543392+,s4,#b0b0b0
5544346+,s4,#b0b0b0
5545424+,"s4, s8",#b0b0b0
554618871866+,s5,Teal
5546212+,s4,#b0b0b0
5548412+,Nobody,#b0b0b0
5548526+,s5,Teal
5548642+,s4,#b0b0b0
5548828+,s8,#b0b0b0
5549144+,s8,#b0b0b0
5549318+,"s4, s8",#b0b0b0
5549530+,s5,Teal
5549862+,s4,#b0b0b0
5550310+,"s4, s8",#b0b0b0
5550830+,s4,#b0b0b0
5552496+,s8,#b0b0b0
5552918+,"s4, s8",#b0b0b0
5553074+,s5,Teal
5553450+,s4,#b0b0b0
5553870+,s8,#b0b0b0
5554876+,s4,#b0b0b0
5555442+,"s4, s8",#b0b0b0
5556180+,s5,Teal
5556296+,s4,#b0b0b0
5556994+,s8,#b0b0b0
5557226+,s5,Teal
5557522+,"s4(3), s8",#b0b0b0
5558134+,Nobody,#b0b0b0
5558412+,s4(2),#b0b0b0
5558448+,s5,Lime
5558920+,s5,Teal
5559470+,s5,Teal
5560722+,Nobody,#b0b0b0
5561330+,s4,#b0b0b0
5561694+,s5,Teal
5562200+,s8,#b0b0b0
5562970+,s4,#b0b0b0
5562996+,s5,Teal
5563198+,s8,#b0b0b0
5564818+,s5,Lime
5564954+,s5,Teal
5565126+,s8,#b0b0b0
5565718+,s4,#b0b0b0
5567172+,s4,#b0b0b0
5567296+,s5,Lime
5567558+,s4(2),#b0b0b0
5567708+,s4,#b0b0b0
55681201620044+,s4,#b0b0b0
5568764+,s8,#b0b0b0
5568866+,Nobody,#b0b0b0
5568898+,s4,#b0b0b0
5570222+,s8,#b0b0b0
5570262+,"s4, s8",#b0b0b0
5570528+,"s4, s5(2)",Navy
5571484+,s5,Teal
5571526+,s4,#b0b0b0
5571966+,Nobody,#b0b0b0
5572562+,s5,Teal
5573778+,s5,Teal
5574112+,s5,Teal
5574456+,s4,#b0b0b0
5576400+,s8,#b0b0b0
