1,0.52,0.61,0.03,0.12,0.07,0.04,0.34,0.62,0.28,0.17,0.02
3,0.14,0.12,0.95,0.81,0.76,0.90,0.50,0.11,0.60,0.68,0.96
4,0.32,0.23,0.02,0.04,0.14,0.02,0.06,0.24,0.05,0.06,0.01
2,0.02,0.05,0.01,0.03,0.04,0.05,0.10,0.03,0.06,0.08,0.02
