,0,1,2,3
e180610595,1.0,1.0,1.0,0.0
e172391699149667314,1.0,1.0,0.0,0.0
e24723054149778801192072399,0.0,1.0,1.0,1.0
e7659146151077648138283614,1.0,0.0,0.0,0.0
e180713072148470915192093429,1.0,0.0,1.0,0.0
e180374469,1.0,1.0,1.0,1.0
e192407000,1.0,1.0,1.0,1.0
e180418521,0.0,1.0,0.0,1.0
e179653245192096385,0.0,1.0,1.0,0.0
e149834630,0.0,0.0,1.0,0.0
e192205221,1.0,0.0,1.0,0.0
e148473373149416072,0.0,1.0,0.0,1.0
e192361645,1.0,1.0,1.0,1.0
e151185523,0.0,0.0,0.0,1.0
e192444687,1.0,1.0,1.0,1.0
e192271976,1.0,0.0,1.0,1.0
e192337745,1.0,1.0,1.0,1.0
e179878409,0.0,0.0,1.0,1.0
e192425526,1.0,1.0,1.0,1.0
e192082233,1.0,0.0,1.0,0.0
e144886356,1.0,0.0,0.0,0.0
e180288007180347645,0.0,0.0,1.0,1.0
e180548973,1.0,0.0,1.0,1.0
e192278436,1.0,1.0,1.0,1.0
e192344361,1.0,1.0,1.0,1.0
e180309139180680264,1.0,0.0,0.0,0.0
e180457913148533361,0.0,0.0,1.0,0.0
e180262021,0.0,1.0,0.0,1.0
e189017099,0.0,0.0,1.0,1.0
e192105353,0.0,0.0,1.0,1.0
e148686010,0.0,1.0,1.0,0.0
e192309608,0.0,1.0,0.0,1.0
e180365557,0.0,1.0,1.0,1.0
e192405244,1.0,1.0,1.0,1.0
e192199713,1.0,0.0,1.0,0.0
e192198635,0.0,1.0,1.0,1.0
e180369941,1.0,1.0,1.0,1.0
e192375182,1.0,1.0,1.0,1.0
e180572873149669192180363269,1.0,0.0,0.0,0.0
e180645135,0.0,0.0,1.0,1.0
e192425050,1.0,1.0,1.0,1.0
e180366629,1.0,0.0,1.0,0.0
e180362485,1.0,1.0,1.0,1.0
e192300776,1.0,1.0,1.0,1.0
e192410713,1.0,1.0,1.0,1.0
e149369452180328993,0.0,0.0,0.0,1.0
e149569038,1.0,0.0,0.0,0.0
e192442248,1.0,1.0,1.0,1.0
e149148785,1.0,0.0,0.0,0.0
e149611492,0.0,0.0,1.0,0.0
e149298743,0.0,1.0,0.0,1.0
e192341651,1.0,1.0,1.0,1.0
e180681340192444437,1.0,1.0,1.0,1.0
e192434938144938384150447705192414635,1.0,1.0,1.0,1.0
e192222563,1.0,1.0,1.0,1.0
e192373758,1.0,1.0,1.0,1.0
e149694810,0.0,0.0,0.0,1.0
e1800702438137060,1.0,0.0,0.0,0.0
e180317753,0.0,1.0,0.0,1.0
e180624491,1.0,1.0,0.0,1.0
e180545433,0.0,1.0,1.0,0.0
e192443268,1.0,1.0,1.0,1.0
e192103255,1.0,0.0,0.0,1.0
e180263589,1.0,0.0,1.0,1.0
e192267422,0.0,0.0,0.0,1.0
e179424521,0.0,1.0,0.0,1.0
e180346427151124808,1.0,1.0,1.0,0.0
e192270844,1.0,0.0,1.0,1.0
e192443316,1.0,0.0,1.0,1.0
e192444417,1.0,1.0,1.0,1.0
e192445043,0.0,0.0,1.0,1.0
e149758387,1.0,1.0,0.0,0.0
e180354197,0.0,1.0,1.0,1.0
e18004331315119233935428638138958647149146623,0.0,1.0,0.0,1.0
e180299927168674947,1.0,0.0,0.0,1.0
e180523029,1.0,1.0,1.0,1.0
e192351025192186183180376119,1.0,1.0,1.0,1.0
e192425220,1.0,1.0,1.0,1.0
e180709780,1.0,1.0,1.0,1.0
e148830328192348957,1.0,1.0,1.0,1.0
e192317096,1.0,1.0,1.0,1.0
e150265962,0.0,0.0,0.0,1.0
e180309283,0.0,1.0,0.0,1.0
e192425532,0.0,1.0,0.0,1.0
e180152663,1.0,1.0,0.0,0.0
e192190485192282022180683640,1.0,0.0,1.0,1.0
e192296354,1.0,1.0,1.0,1.0
e180318095,1.0,0.0,0.0,1.0
e192347335,1.0,1.0,1.0,1.0
e144879856180621319,1.0,1.0,0.0,0.0
e192444409,1.0,1.0,1.0,1.0
e180667086,0.0,1.0,1.0,1.0
e192444723,1.0,1.0,1.0,1.0
e192394866,1.0,1.0,1.0,1.0
e192444465149903864149825120192422780140918746149293819192326727,1.0,1.0,1.0,1.0
e150117204170028057151115324192330451,1.0,1.0,1.0,0.0
e149901880,0.0,0.0,1.0,0.0
e192382398,1.0,1.0,1.0,1.0
e179663679148558888147837745,1.0,1.0,1.0,0.0
e149528638,0.0,0.0,0.0,1.0
e192424992,1.0,1.0,0.0,1.0
e192297122,0.0,1.0,1.0,0.0
e192442254,1.0,1.0,1.0,1.0
e19234324918041772916787164,1.0,0.0,1.0,1.0
e4473640192341683192442260139840781192287312,1.0,1.0,1.0,1.0
e177461357,0.0,0.0,1.0,0.0
e192423008,1.0,1.0,1.0,1.0
e192421269,1.0,1.0,0.0,1.0
e192444431,1.0,1.0,1.0,1.0
e180342945180363775180541469192205999151191869,1.0,1.0,1.0,1.0
e192405060,1.0,1.0,1.0,1.0
e192195511,1.0,1.0,1.0,0.0
e192093291,1.0,1.0,1.0,1.0
e3685751019242230518348424151194053143036459141591038146673054180448337,1.0,1.0,1.0,1.0
e180359463,1.0,1.0,1.0,1.0
e192361025,1.0,1.0,1.0,1.0
e11673654192415377,1.0,1.0,1.0,1.0
e180362429180362433151190257,0.0,1.0,1.0,1.0
e180625137,1.0,1.0,0.0,1.0
e180346387180621895151192101,0.0,0.0,1.0,1.0
e149538644,1.0,0.0,0.0,0.0
e1794799436218680,1.0,1.0,1.0,1.0
e180367853,1.0,0.0,1.0,1.0
e5086442192444391,1.0,1.0,1.0,1.0
e192256398192288118149444062,1.0,1.0,1.0,1.0
e150507547,0.0,0.0,1.0,1.0
e151194219,1.0,1.0,0.0,1.0
e162154423162154419175011823180482891,1.0,1.0,1.0,0.0
e192360915,1.0,1.0,1.0,0.0
e149934384180351471,0.0,0.0,1.0,1.0
e192408683,0.0,1.0,1.0,1.0
e180345243192442984,1.0,1.0,1.0,1.0
e192191787,1.0,0.0,1.0,0.0
e150837554,0.0,1.0,0.0,1.0
e192054521,0.0,0.0,1.0,1.0
e192363559,1.0,1.0,1.0,1.0
e192219501,1.0,1.0,1.0,1.0
e192197953,0.0,0.0,1.0,1.0
e192283650,1.0,1.0,1.0,1.0
e180363141,1.0,0.0,1.0,1.0
e192230591,1.0,1.0,1.0,1.0
e192428070,0.0,1.0,1.0,1.0
e192250332,1.0,1.0,1.0,1.0
e180296037,0.0,0.0,1.0,1.0
e192316552,1.0,1.0,1.0,1.0
e180526283,0.0,0.0,1.0,1.0
e192364545,1.0,0.0,1.0,0.0
e180413385,1.0,1.0,1.0,1.0
e180360739,1.0,0.0,0.0,0.0
e192414725,1.0,1.0,1.0,1.0
e180648693,1.0,1.0,1.0,1.0
e180353869,1.0,1.0,0.0,0.0
e173379161149391658,0.0,0.0,1.0,0.0
e192234615144405500180374577,1.0,1.0,1.0,1.0
e18057814114935080416867148192187877,0.0,0.0,1.0,0.0
e192444007149321519192261000,1.0,1.0,1.0,1.0
e192098547,1.0,0.0,1.0,0.0
e192080941,1.0,0.0,1.0,1.0
e192241884,1.0,1.0,1.0,1.0
e150641019180346481180346479150366295146346708,0.0,1.0,1.0,1.0
e151196653,0.0,0.0,0.0,1.0
e192241624,1.0,0.0,1.0,1.0
e145571932149211915180641461,1.0,0.0,1.0,1.0
e149684354,0.0,0.0,0.0,1.0
e144584938150933642,1.0,1.0,1.0,0.0
