5,8,87,24,2,46,44,46,75,2,97
4,73,12,37,26,47,56,1,14,1,3
8,19,1,39,72,7,0,53,11,97,0
7,44,13,10,42,6,55,76,30,22,23
9,55,84,11,53,12,32,14,20,78,10
5,1,3,79,5,82,13,10,50,0,67
7,19,23,43,93,82,57,89,64,4,5
4,6,70,3,5,8,34,4,3,9,53
5,69,3,3,2,5,9,6,30,1,5
8,6,4,51,0,5,0,1,3,86,37
5,11,18,4,3,82,84,50,3,10,60
4,14,33,6,2,10,14,46,95,38,37
9,12,15,12,92,2,2,1,1,49,1
8,63,34,78,3,6,0,3,1,3,2
5,97,61,34,1,35,57,14,19,20,89
9,0,16,8,6,24,22,16,75,7,8
4,1,21,23,3,12,16,61,0,1,0
7,0,0,27,26,10,2,2,2,71,0
8,2,2,8,64,19,3,7,4,1,3
8,40,75,81,67,14,7,1,31,54,15
5,16,0,1,26,3,0,28,54,28,76
7,33,0,14,0,3,21,66,0,16,0
4,10,25,4,5,5,53,5,11,2,9
9,1,0,0,2,75,19,0,4,0,0
1,0.52,0.61,0.03,0.12,0.07,0.04,0.34,0.62,0.28,0.17,0.02
3,0.14,0.12,0.95,0.81,0.76,0.90,0.50,0.11,0.60,0.68,0.96
4,0.32,0.23,0.02,0.04,0.14,0.02,0.06,0.24,0.05,0.06,0.01
2,0.02,0.05,0.01,0.03,0.04,0.05,0.10,0.03,0.06,0.08,0.02
