,0,1,2,3
e5550394,0.0,1.0,1.0,0.0
e5212494,1.0,0.0,0.0,0.0
e5694072,1.0,0.0,1.0,1.0
e47674,1.0,1.0,0.0,0.0
e5275918,0.0,1.0,0.0,0.0
e5447426,1.0,0.0,0.0,1.0
e5571490,0.0,1.0,1.0,0.0
e5717508,1.0,1.0,1.0,1.0
e5248118,1.0,1.0,0.0,0.0
e5687408,0.0,0.0,1.0,1.0
e5720022,0.0,1.0,0.0,1.0
e31630,0.0,1.0,0.0,0.0
e31632,0.0,0.0,0.0,1.0
e5157338,0.0,1.0,0.0,0.0
e27832,0.0,1.0,0.0,0.0
e27834,0.0,1.0,0.0,0.0
e5158906,0.0,0.0,0.0,1.0
e5680990,0.0,1.0,1.0,0.0
e4726752,0.0,1.0,1.0,1.0
e5264430,0.0,0.0,0.0,1.0
e5481080,0.0,1.0,1.0,0.0
e5329456,1.0,0.0,0.0,0.0
e5689062,1.0,1.0,1.0,0.0
e4931654,1.0,0.0,0.0,0.0
e5718014,1.0,1.0,1.0,1.0
e5713110,0.0,1.0,1.0,0.0
e5713746,1.0,0.0,0.0,1.0
e5253266,1.0,0.0,0.0,1.0
e5702748,1.0,1.0,1.0,1.0
e5655714,0.0,1.0,1.0,0.0
e5674922,1.0,0.0,0.0,0.0
e5176856,0.0,1.0,1.0,0.0
e5242438,1.0,0.0,0.0,1.0
e3706,0.0,0.0,0.0,1.0
e3708,0.0,0.0,1.0,1.0
e5696228,0.0,1.0,1.0,1.0
e5250414,0.0,1.0,1.0,0.0
e5717532,1.0,1.0,1.0,1.0
e5253054,0.0,0.0,0.0,1.0
e5708890,0.0,1.0,1.0,0.0
e5708892,1.0,0.0,0.0,1.0
e5720220,0.0,1.0,1.0,1.0
e5657394,1.0,0.0,0.0,0.0
e5719906,1.0,0.0,0.0,0.0
e48578,1.0,0.0,0.0,0.0
e5664728,1.0,0.0,0.0,0.0
e4945990,0.0,0.0,1.0,0.0
e5197422,1.0,0.0,0.0,0.0
e4674364,0.0,0.0,1.0,0.0
e4795822,0.0,1.0,0.0,0.0
e5682302,0.0,1.0,1.0,0.0
e5483666,0.0,0.0,0.0,1.0
e5648854,0.0,0.0,0.0,1.0
e5708620,0.0,0.0,0.0,1.0
e5708672,0.0,1.0,0.0,0.0
e5678978,1.0,1.0,1.0,1.0
e5686810,0.0,1.0,1.0,0.0
e5150420,0.0,1.0,0.0,0.0
e5305104,1.0,0.0,0.0,0.0
e65736,0.0,0.0,0.0,1.0
e5258302,0.0,0.0,0.0,1.0
e5680572,1.0,0.0,0.0,1.0
e5709586,1.0,0.0,0.0,0.0
e87352,0.0,0.0,0.0,1.0
e4818714,1.0,0.0,0.0,0.0
e5721012,1.0,1.0,1.0,1.0
e5651530,1.0,0.0,1.0,1.0
e5665464,0.0,1.0,0.0,0.0
e5703734,1.0,1.0,1.0,1.0
e31914,0.0,0.0,0.0,0.0
e2644,0.0,0.0,1.0,1.0
e21274,0.0,1.0,0.0,0.0
e4891738,1.0,0.0,0.0,0.0
e5657646,0.0,0.0,1.0,0.0
e5187386,0.0,0.0,1.0,0.0
e5506758,0.0,0.0,0.0,1.0
e5225576,1.0,0.0,0.0,0.0
e5575326,1.0,0.0,0.0,1.0
e5719586,1.0,0.0,0.0,1.0
e5649172,0.0,0.0,0.0,1.0
e5662616,1.0,0.0,0.0,0.0
e5390022,0.0,1.0,1.0,0.0
e5243398,0.0,1.0,0.0,0.0
e5654462,0.0,0.0,1.0,0.0
e5704672,1.0,1.0,0.0,1.0
e5653482,0.0,1.0,0.0,0.0
e5550630,0.0,1.0,1.0,0.0
e5102972,0.0,1.0,0.0,0.0
e5706082,0.0,1.0,0.0,1.0
e25876,0.0,1.0,0.0,0.0
e5652416,0.0,1.0,1.0,0.0
e5670432,1.0,0.0,0.0,0.0
e5719748,1.0,1.0,1.0,0.0
e5259282,0.0,0.0,1.0,0.0
e5216100,0.0,0.0,0.0,1.0
e4718200,0.0,0.0,0.0,1.0
e5106132,0.0,0.0,0.0,1.0
e5166172,0.0,0.0,1.0,0.0
e5177908,0.0,0.0,0.0,1.0
e5605316,1.0,1.0,1.0,0.0
e5707666,1.0,1.0,1.0,1.0
e5718198,1.0,1.0,1.0,1.0
e5663124,1.0,0.0,0.0,1.0
e5583272,1.0,1.0,1.0,0.0
e5495782,0.0,0.0,1.0,1.0
e15786,0.0,1.0,0.0,1.0
e5646798,0.0,0.0,0.0,1.0
e5663154,1.0,0.0,0.0,0.0
e5656192,0.0,0.0,1.0,0.0
e5267402,0.0,0.0,1.0,0.0
e5255456,0.0,1.0,0.0,0.0
e5651488,0.0,1.0,1.0,0.0
e5719528,1.0,0.0,0.0,0.0
e5530734,0.0,1.0,1.0,0.0
e5635176,1.0,0.0,0.0,1.0
e5714768,0.0,1.0,1.0,1.0
e5714152,1.0,1.0,1.0,1.0
e4879186,1.0,0.0,0.0,0.0
e4999318,0.0,1.0,0.0,0.0
e93806,0.0,0.0,0.0,1.0
e5557092,1.0,1.0,0.0,0.0
e5131248,0.0,0.0,0.0,1.0
e5644748,1.0,1.0,1.0,0.0
e5257856,0.0,0.0,0.0,1.0
e5456518,1.0,0.0,0.0,1.0
e5245952,0.0,1.0,1.0,1.0
e5221274,0.0,0.0,0.0,1.0
e41442,0.0,0.0,0.0,0.0
e5319700,0.0,0.0,0.0,1.0
e5652554,0.0,0.0,0.0,1.0
e5721426,1.0,1.0,1.0,1.0
e5077536,0.0,1.0,0.0,0.0
e5131816,0.0,0.0,1.0,0.0
e5720476,1.0,0.0,1.0,0.0
e5634170,1.0,1.0,1.0,1.0
e5649886,0.0,0.0,0.0,1.0
e5663584,1.0,0.0,0.0,0.0
e5554032,0.0,1.0,1.0,0.0
e5067806,0.0,0.0,1.0,0.0
e5703420,1.0,1.0,1.0,1.0
e5709270,1.0,0.0,0.0,1.0
e5679674,1.0,1.0,1.0,1.0
e5175882,0.0,0.0,1.0,0.0
e5265394,0.0,1.0,0.0,0.0
e5681812,0.0,1.0,1.0,0.0
e5623494,1.0,1.0,1.0,0.0
e5214612,0.0,1.0,1.0,1.0
e37382,0.0,1.0,0.0,0.0
e37386,0.0,1.0,0.0,0.0
e22426,0.0,1.0,1.0,0.0
e5719890,1.0,1.0,1.0,0.0
e5414592,0.0,0.0,0.0,1.0
e5194182,0.0,0.0,0.0,1.0
e5257520,1.0,0.0,0.0,0.0
e5713302,0.0,1.0,1.0,0.0
e5187898,0.0,1.0,1.0,0.0
e5211142,1.0,0.0,0.0,1.0
e5654730,1.0,0.0,0.0,0.0
e4812310,0.0,0.0,0.0,0.0
e5228112,1.0,0.0,0.0,0.0
e5503944,0.0,1.0,1.0,1.0
e5095250,1.0,0.0,0.0,1.0
e5652898,0.0,1.0,1.0,0.0
