name,strains_print,color
842334,nobody,#b0b0b0
842336,s9,#b0b0b0
843772,s7,#b0b0b0
846872,s7,#b0b0b0
856806,s5(2),Green
858356,nobody,#b0b0b0
858982,s7(2),#b0b0b0
861448,nobody,#b0b0b0
863838,nobody,#b0b0b0
864430,nobody,#b0b0b0
864432,nobody,#b0b0b0
874534,s9,#b0b0b0
874818,nobody,#b0b0b0
876098,"s9, s5(2)",Green
881966,nobody,#b0b0b0
884642,"s7, s9, s5",Lime
886464,"s7, s9",#b0b0b0
902088,"s7, s9, s5",Lime
902326,"s7, s5",Lime
913366,nobody,#b0b0b0
920426,"s7, s5",Lime
922098,"s7, s9",#b0b0b0
922428,s7,Yellow
924810,nobody,#b0b0b0
925670,nobody,#b0b0b0
936446,nobody,#b0b0b0
937036,s9(2),#b0b0b0
937040,"s7, s9",#b0b0b0
943910,nobody,#b0b0b0
944790,"s7, s9",#b0b0b0
955420,nobody,#b0b0b0
957132,nobody,#b0b0b0
963144,nobody,#b0b0b0
964990,s7,#b0b0b0
966484,s7,#b0b0b0
968170,"s7, s9, s5",Lime
974684,nobody,#b0b0b0
981572,nobody,#b0b0b0
983042,nobody,#b0b0b0
986752,s9(2),#b0b0b0
986838,nobody,#b0b0b0
989006,nobody,#b0b0b0
990714,nobody,#b0b0b0
1004694,nobody,#b0b0b0
1005690,nobody,#b0b0b0
1007216,s7(2),#b0b0b0
1011618,nobody,#b0b0b0
1011620,nobody,#b0b0b0
1014674,nobody,#b0b0b0
1029092,nobody,#b0b0b0
1030350,nobody,#b0b0b0
1030836,nobody,#b0b0b0
1032224,nobody,#b0b0b0
1047226,s5,Lime
1048444,nobody,#b0b0b0
1048446,nobody,#b0b0b0
1057246,s9(2),#b0b0b0
1063668,nobody,#b0b0b0
1074006,nobody,#b0b0b0
1076706,nobody,#b0b0b0
1076708,s9,#b0b0b0
1077116,"s7, s9",#b0b0b0
1080796,nobody,#b0b0b0
1085664,nobody,#b0b0b0
1088300,nobody,#b0b0b0
1089756,"s7, s5",Lime
1093056,s5,Lime
1093058,"s7, s9",#b0b0b0
1101978,s5,Teal
1110030,"s7, s9, s5",Lime
1110074,"s7, s9",#b0b0b0
1116028,s9(4),#b0b0b0
1116336,s9(2),#b0b0b0
1130180,nobody,#b0b0b0
1131072,nobody,#b0b0b0
1131550,nobody,#b0b0b0
1133854,s5,Lime
1135644,nobody,#b0b0b0
1150424,s7(2),#b0b0b0
1150706,nobody,#b0b0b0
1156174,"s7, s5",Lime
1160764,"s7, s9, s5",Lime
1163470,s9,#b0b0b0
1167784,nobody,#b0b0b0
1184412,nobody,#b0b0b0
1185032,nobody,#b0b0b0
1185728,nobody,#b0b0b0
1186388,nobody,#b0b0b0
1187864,nobody,#b0b0b0
1199928,nobody,#b0b0b0
1219216,"s7, s5",Lime
1219752,s7,#b0b0b0
1219754,s7,#b0b0b0
1221050,nobody,#b0b0b0
1227244,s5,Lime
1232754,nobody,#b0b0b0
1233698,"s7, s9",#b0b0b0
1234270,s9,#b0b0b0
1252044,nobody,#b0b0b0
1253734,nobody,#b0b0b0
1253944,"s7, s5",Lime
1255324,nobody,#b0b0b0
1266794,nobody,#b0b0b0
1270220,nobody,#b0b0b0
1274196,s7,#b0b0b0
1292212,s7(3),#b0b0b0
1292214,s7(2),#b0b0b0
1297684,nobody,#b0b0b0
1297788,nobody,#b0b0b0
1304358,s9(2),#b0b0b0
1313340,s5(2),Green
1315332,nobody,#b0b0b0
1315954,s7,Yellow
1316284,s7(2),#b0b0b0
1318376,nobody,#b0b0b0
1318378,s9,#b0b0b0
1320286,nobody,#b0b0b0
1320288,s9,#b0b0b0
1332154,nobody,#b0b0b0
1332156,nobody,#b0b0b0
1334606,"s9, s5",Teal
1340038,nobody,#b0b0b0
1340040,nobody,#b0b0b0
1366022,s9(2),#b0b0b0
1368474,nobody,#b0b0b0
1368982,"s9, s5",Lime
1376346,nobody,#b0b0b0
1376472,nobody,#b0b0b0
1379920,"s7, s9, s5",Lime
1381530,nobody,#b0b0b0
1383246,nobody,#b0b0b0
1384180,nobody,#b0b0b0
1385844,nobody,#b0b0b0
1385846,s5,Lime
1387262,nobody,#b0b0b0
1395252,nobody,#b0b0b0
1396580,nobody,#b0b0b0
1399778,nobody,#b0b0b0
1402734,s7(2),#b0b0b0
1422340,nobody,#b0b0b0
1428658,"s9(3), s5",Green
1440114,"s7, s9, s5",Lime
1444198,nobody,#b0b0b0
1444200,nobody,#b0b0b0
1455082,s5,Lime
1459602,nobody,#b0b0b0
1464272,nobody,#b0b0b0
1467212,"s9, s5",Lime
1468424,nobody,Yellow
1480790,"s9, s5",Lime
1480936,nobody,#b0b0b0
1502928,nobody,#b0b0b0
1510046,nobody,#b0b0b0
1515138,s5,Lime
1515266,nobody,#b0b0b0
1518744,nobody,#b0b0b0
1526146,nobody,#b0b0b0
1528594,nobody,Yellow
1528596,nobody,#b0b0b0
1528814,nobody,#b0b0b0
1530920,"s7(2), s9",#b0b0b0
1536260,nobody,#b0b0b0
1536982,s7(2),#b0b0b0
4621604,nobody,#b0b0b0
4622044,nobody,#b0b0b0
4622850,nobody,#b0b0b0
4623028,nobody,#b0b0b0
4623861,nobody,Yellow
4632017,nobody,#b0b0b0
4636893,"s7, s9, s5",Lime
4640025,nobody,#b0b0b0
4641609,s7,#b0b0b0
4643781,s5,Lime
4645897,s5,Lime
4647719,nobody,#b0b0b0
4650305,s7,#b0b0b0
4651235,nobody,#b0b0b0
4658189,nobody,#b0b0b0
4658451,s5(2),Green
4674943,nobody,#b0b0b0
4676887,nobody,#b0b0b0
4680217,s7,#b0b0b0
4684975,s5,Lime
4686925,nobody,#b0b0b0
4688803,nobody,#b0b0b0
4688817,nobody,#b0b0b0
4689069,nobody,#b0b0b0
4691195,"s7, s9, s5",Lime
